model,first flight,seats,sector,Fuel burn,Fuel per seat
Airbus A330-200,1997,241,6,000 nmi (11,000 km),6.4 kg/km (23 lb/mi),3.32 L/100 km (71 mpg‑US)[52]
Airbus A330neo-800,2017,248,4,650 nmi (8,610 km),5.45 kg/km (19.3 lb/mi),2.75 L/100 km (86 mpg‑US)[59]
Airbus A330neo-900,2017,300,4,650 nmi (8,610 km),5.94 kg/km (21.1 lb/mi),2.48 L/100 km (95 mpg‑US)[59]
Airbus A340-300,1992,262,6,000 nmi (11,000 km),7.32 kg/km (26.0 lb/mi),3.49 L/100 km (67.4 mpg‑US)[52]
Airbus A350-900,2013,315,4,972 nmi (9,208 km),6.03 kg/km (21.4 lb/mi),2.39 L/100 km (98 mpg‑US)[53]
Airbus A350-900,2013,315,6,542 nmi (12,116 km),7.07 kg/km (25.1 lb/mi),2.81 L/100 km (84 mpg‑US)[60]
Airbus A380,2005,525,7,200 nmi (13,300 km),13.78 kg/km (48.9 lb/mi),3.27 L/100 km (72 mpg‑US)[61]
Airbus A380,2005,544,6,000 nmi (11,000 km),13.78 kg/km (48.9 lb/mi),3.16 L/100 km (74 mpg‑US)[62]
Boeing 747-400,1988,416,6,000 nmi (11,000 km),11.11 kg/km (39.4 lb/mi),3.34 L/100 km (70 mpg‑US)[63]
Boeing 747-8,2011,467,6,000 nmi (11,000 km),10.54 kg/km (37.4 lb/mi),2.82 L/100 km (83 mpg‑US)[55]
Boeing 747-8,2011,405,7,200 nmi (13,300 km),10.9 kg/km (39 lb/mi),3.35 L/100 km (70 mpg‑US)[61]
Boeing 777-200ER,1996,301,6,000 nmi (11,000 km),7.42 kg/km (26.3 lb/mi),3.08 L/100 km (76 mpg‑US)[52]
Boeing 777-200ER,1996,301,6,000 nmi (11,000 km),7.44 kg/km (26.4 lb/mi),3.09 L/100 km (76 mpg‑US)[57]
Boeing 777-200LR,2005,291,4,972 nmi (9,208 km),7.57 kg/km (26.9 lb/mi),3.25 L/100 km (72 mpg‑US)[53]
Boeing 777-300ER,2003,365,6,000 nmi (11,000 km),8.49 kg/km (30.1 lb/mi),2.91 L/100 km (81 mpg‑US)[57]
Boeing 777-300ER,2003,344,7,200 nmi (13,300 km),8.58 kg/km (30.4 lb/mi),3.11 L/100 km (76 mpg‑US)[61]
Boeing 777-9X,2020,395,7,200 nmi (13,300 km),9.04 kg/km (32.1 lb/mi),2.85 L/100 km (83 mpg‑US)[61]
Boeing 787-8,2011,243,4,650 nmi (8,610 km),5.38 kg/km (19.1 lb/mi),2.77 L/100 km (85 mpg‑US)[59]
Boeing 787-9,2013,294,4,650 nmi (8,610 km),5.85 kg/km (20.8 lb/mi),2.49 L/100 km (94 mpg‑US)[59]
Boeing 787-9,2013,304,4,972 nmi (9,208 km),5.63 kg/km (20.0 lb/mi),2.31 L/100 km (102 mpg‑US)[53]
Boeing 787-9,2013,291,6,542 nmi (12,116 km),7.18 kg/km (25.5 lb/mi),3.08 L/100 km (76 mpg‑US)[60]
